genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000106868	0.321048415875338	4.76292056739636	29.3358643977653	6.08588369519924e-08	1.31466905066197e-05	SUSD1	gold
ENSG00000176840	0.532054054012077	3.02864488714593	29.2979795107054	6.20603683394701e-08	1.32773384187809e-05	MIR7-3HG	gold
ENSG00000286163	0.380803563281932	3.92831610961664	29.2479398114698	6.36839014710396e-08	1.33981908314589e-05	NA	gold
ENSG00000138190	0.267637435934704	5.60061453635142	29.2258552265619	6.4413904057438e-08	1.33981908314589e-05	EXOC6	gold
ENSG00000015479	-0.342196674483037	5.15599321937376	29.2253185083578	6.44317491670158e-08	1.33981908314589e-05	MATR3	royalblue
ENSG00000116497	-0.201595980005464	5.19107539863306	28.9569967968452	7.40030277159023e-08	1.51464311834251e-05	S100PBP	royalblue
ENSG00000102837	0.937956165965129	1.92843498843541	28.9518348632447	7.42004943367792e-08	1.51464311834251e-05	OLFM4	gold
ENSG00000153046	0.202055261260236	5.70840374559695	28.7960605200522	8.04145137135523e-08	1.6222245375965e-05	CDYL	gold
ENSG00000151376	0.287733508718807	5.46042466716903	28.7837099028611	8.09289544598704e-08	1.6222245375965e-05	ME3	gold
ENSG00000138434	-0.341531943094207	7.82739672327208	28.7475607007989	8.24537085262329e-08	1.63803126313275e-05	ITPRID2	royalblue
ENSG00000204282	-0.463816015360287	3.04262029340614	28.6958463116646	8.46851766158106e-08	1.66747361035556e-05	NA	royalblue
ENSG00000150175	0.710865864212469	2.1906320080645	28.6169820245506	8.82052235628966e-08	1.72154931953899e-05	NA	gold
ENSG00000158089	0.352931971438273	3.57674483908389	28.5879100157507	8.95394986803591e-08	1.73239464838086e-05	GALNT14	gold
ENSG00000106404	-0.513632101701627	3.11441841828473	28.5063459782459	9.33918847490606e-08	1.77269961641867e-05	CLDN15	royalblue
ENSG00000167733	0.268979766216582	4.721818766777	28.4955659335073	9.39133165686465e-08	1.77269961641867e-05	HSD11B1L	gold
ENSG00000102225	0.184957815587583	6.40624870581604	28.4935153427595	9.40128335898438e-08	1.77269961641867e-05	CDK16	gold
ENSG00000140022	-0.434429978998147	7.65935310531132	28.39911097066	9.87106286226705e-08	1.84563990491968e-05	STON2	royalblue
ENSG00000153233	0.421853962764684	5.0004994724747	28.3178964400205	1.02939878694143e-07	1.90867691745391e-05	PTPRR	gold
ENSG00000197410	0.296430736186748	5.63584578092142	28.231792072563	1.07622259759513e-07	1.97900436334642e-05	DCHS2	gold
ENSG00000143772	-0.490893515883184	8.59027402312641	28.1540588846875	1.12032475837319e-07	2.04321523555766e-05	ITPKB	royalblue
ENSG00000077549	0.202230634914763	5.87913190227122	28.0672857826183	1.171698506183e-07	2.10414492455887e-05	CAPZB	gold
ENSG00000168734	0.214341021917291	5.34572983012273	28.0486888505121	1.18301235220152e-07	2.10414492455887e-05	PKIG	gold
ENSG00000119139	-0.44635960321458	3.04030696883462	28.0405444522721	1.18800158198798e-07	2.10414492455887e-05	TJP2	royalblue
ENSG00000125538	1.18831424755102	2.20740397060266	28.03475544766	1.19156072132322e-07	2.10414492455887e-05	IL1B	gold
ENSG00000225953	0.365691285249375	3.5896654024636	27.9333862435797	1.25564431638137e-07	2.18880626046431e-05	SATB2-AS1	gold
ENSG00000164619	0.326828244098906	4.95313521878147	27.9219763085683	1.26307035998552e-07	2.18880626046431e-05	BMPER	gold
ENSG00000138028	0.327513424316357	4.62427431909665	27.9128896913743	1.26901576449391e-07	2.18880626046431e-05	CGREF1	gold
ENSG00000241560	-0.505968600236859	3.18654187438834	27.8694802927535	1.29780801770197e-07	2.22124833798991e-05	ZBTB20-AS1	royalblue
ENSG00000129951	0.361788048195765	4.07261909697654	27.7793123240516	1.35972334216943e-07	2.30945376818854e-05	PLPPR3	gold
ENSG00000114735	-0.308710584734115	4.51413984611172	27.736543008837	1.39011821558483e-07	2.34319168914868e-05	HEMK1	royalblue
ENSG00000067798	0.202203088859137	7.41914136768106	27.6931322031183	1.42166538495836e-07	2.37834998611454e-05	NAV3	gold
ENSG00000134283	0.153247218946719	5.68398969519051	27.6483807926327	1.45493805086825e-07	2.41584862924019e-05	PPHLN1	gold
ENSG00000285588	-0.366426290332444	3.65921879064902	27.6048855354873	1.48802449014156e-07	2.4412637987452e-05	NA	royalblue
ENSG00000104044	0.324949528591054	3.61980809580314	27.5885472887999	1.50064675477543e-07	2.4412637987452e-05	OCA2	gold
ENSG00000107731	-0.283793013654059	6.01681945014026	27.5840233670378	1.50416068304577e-07	2.4412637987452e-05	UNC5B	royalblue
ENSG00000169271	0.729680040525393	1.9975967354899	27.5685608682561	1.51623346130658e-07	2.4412637987452e-05	HSPB3	gold
ENSG00000272320	-0.539823679457945	3.33359694035749	27.5541114410445	1.52760301657823e-07	2.4412637987452e-05	NA	royalblue
ENSG00000271614	0.426759371567961	3.87306502616214	27.5434130241655	1.53607609808687e-07	2.4412637987452e-05	ATP2B1-AS1	gold
ENSG00000165966	0.261986537681632	4.35633053874384	27.5160906904976	1.55792958207211e-07	2.45843497880173e-05	PDZRN4	gold
ENSG00000225683	-0.454203990415075	4.11917719876766	27.5015790952993	1.56966294622787e-07	2.45950708123733e-05	PACRG-AS3	royalblue
ENSG00000136040	0.305503764750338	5.91128344350328	27.4419489122574	1.61881396205998e-07	2.51330621424454e-05	PLXNC1	gold
ENSG00000157005	0.878399454117782	3.26538251577366	27.4326825157114	1.62658919034254e-07	2.51330621424454e-05	SST	gold
ENSG00000226519	0.616644093497651	2.44866369063084	27.3682137366042	1.68172950207105e-07	2.58058492559179e-05	NA	gold
ENSG00000124788	0.128041030780321	8.16271573055395	27.327849873938	1.71720251152439e-07	2.59195731166661e-05	ATXN1	gold
ENSG00000230551	-0.385761086873274	4.43628015759281	27.3220520104753	1.72235908026564e-07	2.59195731166661e-05	NA	royalblue
ENSG00000140632	0.166928026309469	6.59567598717558	27.3102109135577	1.73293871094579e-07	2.59195731166661e-05	GLYR1	gold
ENSG00000179115	0.319929233547311	5.64674093499483	27.3070902987191	1.73573770534079e-07	2.59195731166661e-05	FARSA	gold
ENSG00000178105	0.204527520633442	4.96934581848978	27.2150236450592	1.82038616992642e-07	2.69725663330387e-05	DDX10	gold
ENSG00000079337	-0.38949439133425	6.55688948904729	27.2043140025116	1.83049776012982e-07	2.69725663330387e-05	RAPGEF3	royalblue
ENSG00000221890	0.31916145283976	8.29601442295964	27.1827279305792	1.85104981194654e-07	2.70959594182963e-05	NPTXR	gold
ENSG00000249436	0.56725889669592	2.98904967022865	27.0807474711503	1.95131656433089e-07	2.82386358481839e-05	LNCBRM	gold
ENSG00000085982	-0.277336040051204	5.59759247219485	27.0776018981338	1.95449434634621e-07	2.82386358481839e-05	USP40	royalblue
ENSG00000170653	-0.265681418931865	4.55698093679234	27.0618294699728	1.97050665362387e-07	2.82863051891168e-05	ATF7	royalblue
ENSG00000104964	0.213596971205821	7.49739405867965	27.0061825154519	2.02805747855592e-07	2.87630284332942e-05	TLE5	gold
ENSG00000224116	0.58281539937448	2.54129727524516	27.00474051848	2.0295709950684e-07	2.87630284332942e-05	INHBA-AS1	gold
ENSG00000171992	0.296071420147412	8.01095275327056	26.9207560910311	2.11970211279009e-07	2.9850235449101e-05	SYNPO	gold
ENSG00000183578	0.418864008203403	3.69376021430576	26.9024207042921	2.13990693087885e-07	2.99452384981475e-05	TNFAIP8L3	gold
ENSG00000169330	0.339397680541592	3.64979598492646	26.8826018536103	2.16196361084043e-07	2.99475539419733e-05	MINAR1	gold
ENSG00000246067	-0.304713661995153	4.30938614298304	26.8781124132436	2.16699154366639e-07	2.99475539419733e-05	NA	royalblue
ENSG00000106089	0.426927112952971	6.50075768927814	26.8613167937867	2.18590589929072e-07	3.00224729995176e-05	STX1A	gold
ENSG00000215158	-0.373845006786365	3.70378690425987	26.795502277415	2.26163108106527e-07	3.07291590742355e-05	NA	royalblue
ENSG00000138735	-0.300450436486215	5.23686071625367	26.7926422821356	2.26498071378635e-07	3.07291590742355e-05	PDE5A	royalblue
ENSG00000260816	-0.53456989864213	2.54299255513068	26.6778122673061	2.40365855435416e-07	3.24129714147758e-05	NA	royalblue
ENSG00000233290	0.648285371613899	2.08894886030697	26.6189061728764	2.47806907091951e-07	3.32150824264814e-05	NA	gold
ENSG00000171189	0.270033662235556	4.64013753187404	26.5651867614498	2.54793895159294e-07	3.38436284409521e-05	GRIK1	gold
ENSG00000164530	-0.482474279245744	3.82094228295883	26.5595498610312	2.55538408003593e-07	3.38436284409521e-05	PI16	royalblue
ENSG00000183307	0.288662155115353	4.41483573270784	26.5392301692833	2.58240344473145e-07	3.39990986066714e-05	TMEM121B	gold
ENSG00000068400	0.196283681483939	6.65754683286578	26.5228342242242	2.60441396553442e-07	3.40871827842005e-05	GRIPAP1	gold
ENSG00000068971	0.201164479618256	6.30810691219829	26.4574445871644	2.6940818807767e-07	3.50545741796968e-05	PPP2R5B	gold
ENSG00000265313	0.498176491038953	2.95027400874524	26.4181202039821	2.74949026990219e-07	3.54391734197516e-05	NA	gold
ENSG00000151743	0.315990912024212	4.28933335999241	26.4139061342302	2.75549528162563e-07	3.54391734197516e-05	AMN1	gold
ENSG00000167378	0.190031153910655	7.13530221826485	26.3316743460374	2.87534200514403e-07	3.64435022697601e-05	IRGQ	gold
ENSG00000051596	0.454956871970899	3.12601815499163	26.3291432453952	2.8791126452896e-07	3.64435022697601e-05	THOC3	gold
ENSG00000271500	-0.595590431910132	2.58785939793012	26.3267235359542	2.88272197729338e-07	3.64435022697601e-05	NA	royalblue
ENSG00000229456	-0.712431060992645	2.03185030159894	26.2966833714534	2.92791053605145e-07	3.68056550435846e-05	RLIMP1	royalblue
ENSG00000180044	0.555351202330691	3.90022092962468	26.2813296622563	2.95128018610853e-07	3.68910023263566e-05	C3orf80	gold
ENSG00000176148	0.244878123321176	5.87996940064969	26.2702050020821	2.96832959554343e-07	3.68968343580119e-05	TCP11L1	gold
ENSG00000134817	-0.609829422551904	6.54289091878792	26.1979086448784	3.08156083103264e-07	3.80915158280423e-05	APLNR	royalblue
ENSG00000122512	0.274295910472103	5.07530330505498	26.1674142344966	3.13061040793375e-07	3.84684437438416e-05	PMS2	gold
ENSG00000147571	0.875004673976508	1.93579262231442	26.1575570464269	3.14663225230524e-07	3.84684437438416e-05	CRH	gold
ENSG00000106624	-0.588115297152052	6.02447533621234	26.1274234520282	3.19612280885302e-07	3.88343025466105e-05	AEBP1	royalblue
ENSG00000188674	0.643214528985388	4.24957935320336	26.1181763278993	3.21146591846127e-07	3.88343025466105e-05	C2orf80	gold
ENSG00000261326	-0.352992965393801	3.80493181000398	26.0910054297203	3.25697722884351e-07	3.90557578764297e-05	NA	royalblue
ENSG00000162631	0.300187114383334	4.44627783672231	26.0844904683095	3.26798555621556e-07	3.90557578764297e-05	NTNG1	gold
ENSG00000117154	0.276969534589144	5.31094478162872	26.0600636051458	3.30959272634483e-07	3.90557578764297e-05	IGSF21	gold
ENSG00000117318	-0.498892744873329	5.36789946353758	26.0575643638994	3.31387960700814e-07	3.90557578764297e-05	ID3	royalblue
ENSG00000221946	0.356501135975531	3.75084400144567	26.055429856791	3.3175452757956e-07	3.90557578764297e-05	FXYD7	gold
ENSG00000103154	0.395579274038824	4.65431723734769	25.9205740091629	3.55757191907988e-07	4.16610395786987e-05	NECAB2	gold
ENSG00000146938	0.250853417022628	6.02663954257185	25.9013718697735	3.59313696251798e-07	4.18016183116296e-05	NLGN4X	gold
ENSG00000172954	0.229925540421171	4.63491190537583	25.893857807049	3.60715088352039e-07	4.18016183116296e-05	LCLAT1	gold
ENSG00000198218	0.178935036805335	6.17518898584674	25.8055654307679	3.77598103694828e-07	4.3531387602124e-05	QRICH1	gold
ENSG00000165181	-0.613231271944339	3.45928734429601	25.7761278355025	3.83401372001415e-07	4.39725800362447e-05	SHOC1	royalblue
ENSG00000184178	0.26076879728178	4.47494564928238	25.7220146140619	3.94303398486822e-07	4.47659318530109e-05	SCFD2	gold
ENSG00000158019	0.255549542176385	4.42750470002287	25.7218227979253	3.94342590705174e-07	4.47659318530109e-05	BABAM2	gold
