category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	26/772	183/9512	0.14207650273224043	1.750559189105014	3.046905392351121	0.0034500980786494446	0.01764001759567539	0.012007981428236605	64135/718/3111/3109/3115/7098/6850/7132/3108/4939/7157/57506/3678/3113/3122/972/3106/3133/3107/3123/3665/3117/9021/3119/3127/3553	26
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	23/772	157/9512	0.1464968152866242	1.805022936536748	3.022749857324341	0.003921087504967927	0.019729916493251315	0.013430625539154972	25937/7048/2246/51176/10413/26524/3689/5054/286204/8324/85407/7532/7040/653/2736/7533/84962/83439/654/8463/7004/7161/7471	23
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	11/772	56/9512	0.19642857142857142	2.420244263508512	3.167884582030813	0.00473954174846311	0.023475542722856343	0.01598036280320621	718/7100/1378/3689/3606/834/4791/3303/3304/3553/3576	11
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	30/772	227/9512	0.13215859030837004	1.6283581748875855	2.8477067773455804	0.005246728608229186	0.025250017928399256	0.017188290470934245	4773/64764/3587/3570/2785/23236/7132/2185/4772/7157/2768/7852/5579/3106/6387/808/5743/3133/3554/3107/5829/6349/3710/196883/1234/5582/5331/1026/3553/3576	30
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	16/772	98/9512	0.16326530612244897	2.0116315956434385	2.991674574369982	0.005257101524524767	0.025250017928399256	0.017188290470934245	64764/5581/3762/57172/23236/5579/808/814/478/3710/25865/196883/5582/84876/5331/4881	16
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	16/772	99/9512	0.16161616161616163	1.9913120845763332	2.94665976516387	0.005812796291919777	0.02746906553339821	0.01869884919258387	5581/8989/5583/23236/5579/808/3554/3356/3710/5029/196883/5582/2150/5331/3479/3553	16
Organismal Systems	Excretory system	hsa04966	Collecting duct acid secretion	7/772	28/9512	0.25	3.0803108808290154	3.276253578486658	0.005892417843126429	0.02746906553339821	0.01869884919258387	760/534/529/10312/523/526/10723	7
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	13/772	75/9512	0.17333333333333334	2.1356822107081173	2.9345161360920264	0.006831202701066252	0.031383931249826115	0.021363791818742664	64764/23236/5172/5579/7276/4036/478/493869/3710/196883/5582/5331/6528	13
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	17/772	110/9512	0.15454545454545454	1.9041921808761186	2.834738426997953	0.007187011329870585	0.03185424224950557	0.021683943752776495	284/3570/2026/5054/2321/4843/5579/4055/2064/2872/4846/5582/285/7076/2034/1026/3479	17
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	17/772	110/9512	0.15454545454545454	1.9041921808761186	2.834738426997953	0.007187011329870585	0.03185424224950557	0.021683943752776495	7048/4052/7050/3399/1030/2014/3625/60436/7040/3624/64388/653/2615/79875/654/4091/56963	17
Environmental Information Processing	Signal transduction	hsa04392	Hippo signaling pathway - multiple species	7/772	29/9512	0.2413793103448276	2.9740932642487046	3.1641700467777065	0.007235032939950791	0.03185424224950557	0.021683943752776495	25937/10413/5058/26524/84962/8463/7004	7
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	23/772	166/9512	0.13855421686746988	1.7071602472064422	2.7316497855138344	0.007778354064657416	0.03377723614378631	0.0229929716402995	4773/64764/140/23533/5581/23236/4772/2768/10335/808/4208/7408/478/3710/1258/196883/4846/91807/5331/5350/4881/151/10398	23
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	22/772	157/9512	0.14012738853503184	1.7265436784264545	2.728071090435591	0.008003322914518872	0.03422211594381876	0.023295811949137782	4773/7048/2308/678/677/1030/5054/4772/7157/28996/9261/3106/808/3133/2113/7040/1017/3107/3710/6237/1026/3576	22
